start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
2018-04-28 00:21,6152,2018-04-28 00:28,6187,399,1
2018-04-28 00:22,6059,2018-04-28 00:35,6159,806,1
2018-04-28 00:22,6171,2018-04-28 00:32,6156,594,1
2018-04-28 00:22,6192,2018-04-28 00:28,7026,346,0
2018-04-28 00:22,7010,2018-04-28 00:32,6339,567,1
2018-04-28 00:22,6729,2018-04-28 00:25,6902,182,1
2018-04-28 00:22,6195,2018-04-28 00:33,6142,652,1
2018-04-28 00:22,6098,2018-04-28 00:35,6434,731,1
2018-04-28 00:23,6147,2018-04-28 00:41,6068,1107,0
2018-04-28 00:23,6142,2018-04-28 00:26,6177,206,1
2018-04-28 00:23,6250,2018-04-28 00:51,6024,1718,1
2018-04-28 00:23,6192,2018-04-28 00:28,7026,298,0
2018-04-28 00:23,6178,2018-04-28 00:38,6020,889,0
2018-04-28 00:23,6916,2018-04-28 00:27,6368,240,1
2018-04-28 00:23,6147,2018-04-28 00:41,6068,1083,0
2018-04-28 00:23,6012,2018-04-28 00:37,6163,860,1
2018-04-28 00:23,6186,2018-04-28 00:27,6236,231,0
2018-04-28 00:23,6122,2018-04-28 00:54,6432,1832,1
2018-04-28 00:23,6103,2018-04-28 00:34,6729,628,1
2018-04-28 00:23,6122,2018-04-28 00:54,6432,1829,1
2018-04-28 00:23,6184,2018-04-28 00:29,6175,337,1
2018-04-28 00:24,6134,2018-04-28 00:28,6150,262,1
2018-04-28 00:24,6907,2018-04-28 00:35,6044,657,1
2018-04-28 00:24,6134,2018-04-28 00:28,6150,261,1
2018-04-28 00:24,6707,2018-04-28 00:32,6742,491,1
2018-04-28 00:24,6248,2018-04-28 00:54,6393,1778,1
2018-04-28 00:24,6100,2018-04-28 00:33,6708,509,1
2018-04-28 00:25,7037,2018-04-28 00:32,6903,444,1
2018-04-28 00:25,6036,2018-04-28 00:44,6402,1132,1
2018-04-28 00:25,7037,2018-04-28 00:30,6213,318,1
2018-04-28 00:25,6100,2018-04-28 00:33,6434,509,1
2018-04-28 00:25,6268,2018-04-28 00:37,7027,731,1
2018-04-28 00:25,6281,2018-04-28 00:29,6163,230,0
2018-04-28 00:25,7033,2018-04-28 00:38,6014,762,1
2018-04-28 00:25,7037,2018-04-28 00:30,6213,288,0
2018-04-28 00:25,6149,2018-04-28 00:30,6141,256,0
2018-04-28 00:25,6136,2018-04-28 00:36,6234,663,1
2018-04-28 00:26,6136,2018-04-28 00:35,6234,598,1
2018-04-28 00:26,6269,2018-04-28 00:30,6391,282,1
2018-04-28 00:26,6157,2018-04-28 00:37,6113,682,1
2018-04-28 00:26,6136,2018-04-28 00:35,6234,588,1
